"### รายการธุรกรรมทั้งหมด"
"ลำดับ","เวลา","ประเภท","จาก","ไป","จำนวน(บาท)","หมายเหตุ","Σกระเป๋า+กอง หลังรายการ","เบิกสุทธิ หลังรายการ","ส่วนต่าง (ตรวจสมการ)"
"16","16/8/2569 19:34:43","ลงกอง","แนน","กองกลาง","100.00","ตาม ฿100","5000.00","5000.00","0"
"17","16/8/2569 19:35:40","ลงกอง","ป๋องแป๋ง","กองกลาง","120.00","ขึ้นเป็น ฿120","5000.00","5000.00","0"
"18","16/8/2569 19:36:48","ลงกอง","มิ้นท์","กองกลาง","120.00","ตาม ฿120","5000.00","5000.00","0"
"19","16/8/2569 19:38:01","ลงกอง","อาร์ต","กองกลาง","20.00","ตาม ฿120","5000.00","5000.00","0"
"20","16/8/2569 19:39:00","ลงกอง","แนน","กองกลาง","20.00","ตาม ฿120","5000.00","5000.00","0"
"21","16/8/2569 19:39:37","ลงกอง","อาร์ต","กองกลาง","80.00","ขึ้นเป็น ฿80","5000.00","5000.00","0"
"22","16/8/2569 19:40:43","ลงกอง","ป๋องแป๋ง","กองกลาง","180.00","ขึ้นเป็น ฿180","5000.00","5000.00","0"
"23","16/8/2569 19:41:03","ลงกอง","มิ้นท์","กองกลาง","180.00","ตาม ฿180","5000.00","5000.00","0"
"24","16/8/2569 19:43:24","ลงกอง","ป๋องแป๋ง","กองกลาง","100.00","ขึ้นเป็น ฿100","5000.00","5000.00","0"
"25","16/8/2569 19:44:30","ลงกอง","มิ้นท์","กองกลาง","100.00","ตาม ฿100","5000.00","5000.00","0"
"26","16/8/2569 19:45:29","รับเงินกองกลาง","กองกลาง","มิ้นท์","1480.00","","5000.00","5000.00","0"
"27","16/8/2569 19:47:45","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"28","16/8/2569 19:48:36","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"29","16/8/2569 19:49:28","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"30","16/8/2569 19:50:43","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"31","16/8/2569 19:51:29","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"32","16/8/2569 19:52:39","ลงกอง","อาร์ต","กองกลาง","40.00","ขึ้นเป็น ฿40","5000.00","5000.00","0"
"33","16/8/2569 19:53:32","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿40","5000.00","5000.00","0"
"34","16/8/2569 19:53:44","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿40","5000.00","5000.00","0"
"35","16/8/2569 19:54:43","ลงกอง","มิ้นท์","กองกลาง","60.00","ขึ้นเป็น ฿60","5000.00","5000.00","0"
"36","16/8/2569 19:55:22","ลงกอง","อาร์ต","กองกลาง","20.00","ตาม ฿60","5000.00","5000.00","0"
"37","16/8/2569 19:56:36","ลงกอง","ป๋องแป๋ง","กองกลาง","20.00","ตาม ฿60","5000.00","5000.00","0"
"38","16/8/2569 19:59:46","ลงกอง","มิ้นท์","กองกลาง","40.00","ขึ้นเป็น ฿40","5000.00","5000.00","0"
"39","16/8/2569 20:00:31","ลงกอง","อาร์ต","กองกลาง","40.00","ตาม ฿40","5000.00","5000.00","0"
"40","16/8/2569 20:01:45","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿40","5000.00","5000.00","0"
"41","16/8/2569 20:02:40","ลงกอง","มิ้นท์","กองกลาง","60.00","ขึ้นเป็น ฿60","5000.00","5000.00","0"
"42","16/8/2569 20:03:31","ลงกอง","อาร์ต","กองกลาง","60.00","ตาม ฿60","5000.00","5000.00","0"
"43","16/8/2569 20:04:29","ลงกอง","ป๋องแป๋ง","กองกลาง","160.00","ขึ้นเป็น ฿160","5000.00","5000.00","0"
"44","16/8/2569 20:05:00","ลงกอง","มิ้นท์","กองกลาง","100.00","ตาม ฿160","5000.00","5000.00","0"
"45","16/8/2569 20:06:23","รับเงินกองกลาง","กองกลาง","ป๋องแป๋ง","920.00","","5000.00","5000.00","0"
"46","16/8/2569 20:07:41","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"47","16/8/2569 20:08:50","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"48","16/8/2569 20:09:00","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"49","16/8/2569 20:09:39","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"50","16/8/2569 20:10:33","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"51","16/8/2569 20:16:10","ลงกอง","ป๋องแป๋ง","กองกลาง","20.00","ขึ้นเป็น ฿20","5000.00","5000.00","0"
"52","16/8/2569 20:16:43","ลงกอง","มิ้นท์","กองกลาง","20.00","ตาม ฿20","5000.00","5000.00","0"
"53","16/8/2569 20:17:04","ลงกอง","อาร์ต","กองกลาง","100.00","ขึ้นเป็น ฿100","5000.00","5000.00","0"
"54","16/8/2569 20:17:49","ลงกอง","บอย","กองกลาง","100.00","ตาม ฿100","5000.00","5000.00","0"
"55","16/8/2569 20:18:22","ลงกอง","แนน","กองกลาง","100.00","ตาม ฿100","5000.00","5000.00","0"
"56","16/8/2569 20:19:36","ลงกอง","มิ้นท์","กองกลาง","80.00","ตาม ฿100","5000.00","5000.00","0"
"57","16/8/2569 20:24:12","ลงกอง","แนน","กองกลาง","80.00","ขึ้นเป็น ฿80","5000.00","5000.00","0"
"58","16/8/2569 20:24:52","ลงกอง","อาร์ต","กองกลาง","80.00","ตาม ฿80","5000.00","5000.00","0"
"59","16/8/2569 20:25:33","ลงกอง","บอย","กองกลาง","80.00","ตาม ฿80","5000.00","5000.00","0"
"60","16/8/2569 20:26:12","รับเงินกองกลาง","กองกลาง","อาร์ต","860.00","","5000.00","5000.00","0"
"61","16/8/2569 20:27:49","ยืมเงิน","บอย","แนน","300.00","ขอยืมหน่อย เดี๋ยวคืน","5000.00","5000.00","0"
"62","16/8/2569 20:29:29","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"63","16/8/2569 20:29:57","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"64","16/8/2569 20:30:37","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"65","16/8/2569 20:31:30","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"66","16/8/2569 20:31:39","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"67","16/8/2569 20:32:51","ลงกอง","อาร์ต","กองกลาง","20.00","ขึ้นเป็น ฿20","5000.00","5000.00","0"
"68","16/8/2569 20:35:50","ลงกอง","ป๋องแป๋ง","กองกลาง","20.00","ตาม ฿20","5000.00","5000.00","0"
"69","16/8/2569 20:36:51","ลงกอง","มิ้นท์","กองกลาง","20.00","ตาม ฿20","5000.00","5000.00","0"
"70","16/8/2569 20:37:59","ลงกอง","อาร์ต","กองกลาง","100.00","ขึ้นเป็น ฿100","5000.00","5000.00","0"
"71","16/8/2569 20:39:01","ลงกอง","มิ้นท์","กองกลาง","100.00","ตาม ฿100","5000.00","5000.00","0"
"72","16/8/2569 20:40:13","ลงกอง","มิ้นท์","กองกลาง","60.00","ขึ้นเป็น ฿60","5000.00","5000.00","0"
"73","16/8/2569 20:41:29","ลงกอง","อาร์ต","กองกลาง","60.00","ตาม ฿60","5000.00","5000.00","0"
"74","16/8/2569 20:43:37","ลงกอง","มิ้นท์","กองกลาง","60.00","ขึ้นเป็น ฿60","5000.00","5000.00","0"
"75","16/8/2569 20:44:19","ลงกอง","อาร์ต","กองกลาง","60.00","ตาม ฿60","5000.00","5000.00","0"
"76","16/8/2569 20:45:02","รับเงินกองกลาง","กองกลาง","อาร์ต","700.00","","5000.00","5000.00","0"
"77","16/8/2569 20:46:11","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"78","16/8/2569 20:47:01","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"79","16/8/2569 20:47:11","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"80","16/8/2569 20:48:19","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"81","16/8/2569 20:48:46","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"82","16/8/2569 20:50:28","ลงกอง","บอย","กองกลาง","80.00","ขึ้นเป็น ฿80","5000.00","5000.00","0"
"83","16/8/2569 20:50:58","ลงกอง","แนน","กองกลาง","80.00","ตาม ฿80","5000.00","5000.00","0"
"84","16/8/2569 20:51:13","ลงกอง","ป๋องแป๋ง","กองกลาง","80.00","ตาม ฿80","5000.00","5000.00","0"
"85","16/8/2569 20:51:27","ลงกอง","มิ้นท์","กองกลาง","80.00","ตาม ฿80","5000.00","5000.00","0"
"86","16/8/2569 20:52:20","ลงกอง","อาร์ต","กองกลาง","80.00","ตาม ฿80","5000.00","5000.00","0"
"87","16/8/2569 20:54:16","ลงกอง","บอย","กองกลาง","60.00","ขึ้นเป็น ฿60","5000.00","5000.00","0"
"88","16/8/2569 20:55:29","ลงกอง","แนน","กองกลาง","60.00","ตาม ฿60","5000.00","5000.00","0"
"89","16/8/2569 20:55:49","ลงกอง","ป๋องแป๋ง","กองกลาง","120.00","ขึ้นเป็น ฿120","5000.00","5000.00","0"
"90","16/8/2569 20:56:41","ลงกอง","มิ้นท์","กองกลาง","120.00","ตาม ฿120","5000.00","5000.00","0"
"91","16/8/2569 20:57:26","ลงกอง","อาร์ต","กองกลาง","120.00","ตาม ฿120","5000.00","5000.00","0"
"92","16/8/2569 20:59:42","ลงกอง","แนน","กองกลาง","60.00","ตาม ฿120","5000.00","5000.00","0"
"93","16/8/2569 21:01:30","ลงกอง","ป๋องแป๋ง","กองกลาง","100.00","ขึ้นเป็น ฿100","5000.00","5000.00","0"
"94","16/8/2569 21:02:18","ลงกอง","มิ้นท์","กองกลาง","100.00","ตาม ฿100","5000.00","5000.00","0"
"95","16/8/2569 21:04:27","ลงกอง","แนน","กองกลาง","180.00","ขึ้นเป็น ฿180","5000.00","5000.00","0"
"96","16/8/2569 21:05:10","ลงกอง","ป๋องแป๋ง","กองกลาง","80.00","ตาม ฿180","5000.00","5000.00","0"
"97","16/8/2569 21:05:54","ลงกอง","แนน","กองกลาง","60.00","ขึ้นเป็น ฿60","5000.00","5000.00","0"
"98","16/8/2569 21:06:59","ลงกอง","ป๋องแป๋ง","กองกลาง","60.00","ตาม ฿60","5000.00","5000.00","0"
"99","16/8/2569 21:08:05","รับเงินกองกลาง","กองกลาง","ป๋องแป๋ง","860.00","","0.00","0.00","0"
"100","16/8/2569 21:08:05","รับเงินกองกลาง","กองกลาง","แนน","860.00","","5000.00","5000.00","0"
"101","16/8/2569 21:09:01","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"102","16/8/2569 21:09:53","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"103","16/8/2569 21:11:06","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"104","16/8/2569 21:11:35","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"105","16/8/2569 21:11:59","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"106","16/8/2569 21:12:19","ลงกอง","ป๋องแป๋ง","กองกลาง","100.00","ขึ้นเป็น ฿100","5000.00","5000.00","0"
"107","16/8/2569 21:14:14","ลงกอง","บอย","กองกลาง","100.00","ตาม ฿100","5000.00","5000.00","0"
"108","16/8/2569 21:14:54","ลงกอง","แนน","กองกลาง","100.00","ตาม ฿100","5000.00","5000.00","0"
"109","16/8/2569 21:15:54","ลงกอง","บอย","กองกลาง","40.00","ขึ้นเป็น ฿40","5000.00","5000.00","0"
"110","16/8/2569 21:16:04","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿40","5000.00","5000.00","0"
"111","16/8/2569 21:16:36","ลงกอง","ป๋องแป๋ง","กองกลาง","80.00","ขึ้นเป็น ฿80","5000.00","5000.00","0"
"112","16/8/2569 21:17:57","เติมเงิน (อนุมัติแล้ว)","BANK","บอย","500.00","ขอเติมเงิน","5500.00","5500.00","0"
"113","16/8/2569 21:19:50","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿80","5500.00","5500.00","0"
"114","16/8/2569 21:22:39","ลงกอง","ป๋องแป๋ง","กองกลาง","60.00","ขึ้นเป็น ฿60","5500.00","5500.00","0"
"115","16/8/2569 21:23:52","ลงกอง","แนน","กองกลาง","60.00","ตาม ฿60","5500.00","5500.00","0"
"116","16/8/2569 21:24:20","รับเงินกองกลาง","กองกลาง","ป๋องแป๋ง","820.00","","5500.00","5500.00","0"
"117","16/8/2569 21:25:20","โอนเงิน","ป๋องแป๋ง","มิ้นท์","100.00","ค่าน้ำแข็ง","5500.00","5500.00","0"
"118","16/8/2569 21:26:49","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"119","16/8/2569 21:27:43","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"120","16/8/2569 21:27:56","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"121","16/8/2569 21:29:10","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"122","16/8/2569 21:30:22","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"123","16/8/2569 21:32:23","ลงกอง","มิ้นท์","กองกลาง","20.00","ขึ้นเป็น ฿20","5500.00","5500.00","0"
"124","16/8/2569 21:33:39","ลงกอง","อาร์ต","กองกลาง","120.00","ขึ้นเป็น ฿120","5500.00","5500.00","0"
"125","16/8/2569 21:34:41","ลงกอง","บอย","กองกลาง","120.00","ตาม ฿120","5500.00","5500.00","0"
"126","16/8/2569 21:35:02","ลงกอง","แนน","กองกลาง","120.00","ตาม ฿120","5500.00","5500.00","0"
"127","16/8/2569 21:36:24","ลงกอง","มิ้นท์","กองกลาง","100.00","ตาม ฿120","5500.00","5500.00","0"
"128","16/8/2569 21:38:58","ลงกอง","แนน","กองกลาง","20.00","ขึ้นเป็น ฿20","5500.00","5500.00","0"
"129","16/8/2569 21:39:14","ลงกอง","มิ้นท์","กองกลาง","20.00","ตาม ฿20","5500.00","5500.00","0"
"130","16/8/2569 21:39:54","ลงกอง","อาร์ต","กองกลาง","20.00","ตาม ฿20","5500.00","5500.00","0"
"131","16/8/2569 21:41:25","ลงกอง","อาร์ต","กองกลาง","40.00","ขึ้นเป็น ฿40","5500.00","5500.00","0"
"132","16/8/2569 21:42:02","ลงกอง","มิ้นท์","กองกลาง","140.00","ขึ้นเป็น ฿140","5500.00","5500.00","0"
"133","16/8/2569 21:42:11","ลงกอง","อาร์ต","กองกลาง","100.00","ตาม ฿140","5500.00","5500.00","0"
"134","16/8/2569 21:44:22","รับเงินกองกลาง","กองกลาง","มิ้นท์","1020.00","","5500.00","5500.00","0"
"135","16/8/2569 21:45:06","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"136","16/8/2569 21:45:55","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"137","16/8/2569 21:46:56","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"138","16/8/2569 21:47:35","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"139","16/8/2569 21:48:18","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","5500.00","5500.00","0"
"140","16/8/2569 21:50:57","ลงกอง","ป๋องแป๋ง","กองกลาง","80.00","ขึ้นเป็น ฿80","5500.00","5500.00","0"
"141","16/8/2569 21:51:59","ลงกอง","มิ้นท์","กองกลาง","80.00","ตาม ฿80","5500.00","5500.00","0"
"142","16/8/2569 21:52:43","ลงกอง","อาร์ต","กองกลาง","80.00","ตาม ฿80","5500.00","5500.00","0"
"143","16/8/2569 21:53:59","ลงกอง","บอย","กองกลาง","80.00","ตาม ฿80","5500.00","5500.00","0"
"144","16/8/2569 21:56:01","ลงกอง","มิ้นท์","กองกลาง","60.00","ขึ้นเป็น ฿60","5500.00","5500.00","0"
"145","16/8/2569 21:56:38","ลงกอง","อาร์ต","กองกลาง","60.00","ตาม ฿60","5500.00","5500.00","0"
"146","16/8/2569 21:58:10","ลงกอง","ป๋องแป๋ง","กองกลาง","60.00","ตาม ฿60","5500.00","5500.00","0"
"147","16/8/2569 21:59:11","ลงกอง","อาร์ต","กองกลาง","40.00","ขึ้นเป็น ฿40","5500.00","5500.00","0"
"148","16/8/2569 21:59:46","ลงกอง","ป๋องแป๋ง","กองกลาง","60.00","ขึ้นเป็น ฿60","5500.00","5500.00","0"
"149","16/8/2569 22:00:35","ลงกอง","อาร์ต","กองกลาง","20.00","ตาม ฿60","5500.00","5500.00","0"
"150","16/8/2569 22:01:10","ลงกอง","อาร์ต","กองกลาง","40.00","ขึ้นเป็น ฿40","5500.00","5500.00","0"
"151","16/8/2569 22:01:36","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿40","5500.00","5500.00","0"
"152","16/8/2569 22:02:27","รับเงินกองกลาง","กองกลาง","ป๋องแป๋ง","900.00","","5500.00","5500.00","0"
"153","16/8/2569 22:04:06","Admin เติมเงินให้","BANK","มิ้นท์","1000.00","Admin เติมให้แทน","6500.00","6500.00","0"
"154","16/8/2569 22:04:56","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","6500.00","6500.00","0"
"155","16/8/2569 22:05:59","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","6500.00","6500.00","0"
"156","16/8/2569 22:06:49","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","6500.00","6500.00","0"
"157","16/8/2569 22:07:30","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","6500.00","6500.00","0"
"158","16/8/2569 22:08:08","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","6500.00","6500.00","0"
"159","16/8/2569 22:09:19","ลงกอง","อาร์ต","กองกลาง","80.00","ขึ้นเป็น ฿80","6500.00","6500.00","0"
"160","16/8/2569 22:10:02","ลงกอง","บอย","กองกลาง","80.00","ตาม ฿80","6500.00","6500.00","0"
"161","16/8/2569 22:12:14","ลงกอง","ป๋องแป๋ง","กองกลาง","120.00","ขึ้นเป็น ฿120","6500.00","6500.00","0"
"162","16/8/2569 22:12:52","ลงกอง","มิ้นท์","กองกลาง","120.00","ตาม ฿120","6500.00","6500.00","0"
"163","16/8/2569 22:13:53","ลงกอง","บอย","กองกลาง","40.00","ตาม ฿120","6500.00","6500.00","0"
"164","16/8/2569 22:15:43","ลงกอง","มิ้นท์","กองกลาง","100.00","ขึ้นเป็น ฿100","6500.00","6500.00","0"
"165","16/8/2569 22:16:45","เติมเงิน (อนุมัติแล้ว)","BANK","บอย","500.00","ขอเติมเงิน","7000.00","7000.00","0"
"166","16/8/2569 22:18:02","ลงกอง","บอย","กองกลาง","140.00","ขึ้นเป็น ฿140","7000.00","7000.00","0"
"167","16/8/2569 22:20:03","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿140","7000.00","7000.00","0"
"168","16/8/2569 22:22:48","ลงกอง","บอย","กองกลาง","100.00","ขึ้นเป็น ฿100","7000.00","7000.00","0"
"169","16/8/2569 22:24:00","ลงกอง","มิ้นท์","กองกลาง","180.00","ขึ้นเป็น ฿180","7000.00","7000.00","0"
"170","16/8/2569 22:24:49","ลงกอง","บอย","กองกลาง","80.00","ตาม ฿180","7000.00","7000.00","0"
"171","16/8/2569 22:25:24","รับเงินกองกลาง","กองกลาง","มิ้นท์","1280.00","","7000.00","7000.00","0"
"172","16/8/2569 22:26:35","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","7000.00","7000.00","0"
"173","16/8/2569 22:27:12","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","7000.00","7000.00","0"
"174","16/8/2569 22:27:52","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","7000.00","7000.00","0"
"175","16/8/2569 22:28:36","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","7000.00","7000.00","0"
"176","16/8/2569 22:29:54","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","7000.00","7000.00","0"
"177","16/8/2569 22:31:21","ลงกอง","อาร์ต","กองกลาง","60.00","ขึ้นเป็น ฿60","7000.00","7000.00","0"
"178","16/8/2569 22:32:01","ลงกอง","บอย","กองกลาง","140.00","ขึ้นเป็น ฿140","7000.00","7000.00","0"
"179","16/8/2569 22:34:03","ลงกอง","ป๋องแป๋ง","กองกลาง","140.00","ตาม ฿140","7000.00","7000.00","0"
"180","16/8/2569 22:34:42","ลงกอง","มิ้นท์","กองกลาง","140.00","ตาม ฿140","7000.00","7000.00","0"
"181","16/8/2569 22:35:57","ลงกอง","บอย","กองกลาง","40.00","ขึ้นเป็น ฿40","7000.00","7000.00","0"
"182","16/8/2569 22:36:42","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿40","7000.00","7000.00","0"
"183","16/8/2569 22:37:35","ลงกอง","มิ้นท์","กองกลาง","80.00","ขึ้นเป็น ฿80","7000.00","7000.00","0"
"184","16/8/2569 22:37:50","Admin เติมเงินให้","BANK","บอย","500.00","Admin เติมให้","7500.00","7500.00","0"
"185","16/8/2569 22:38:27","ลงกอง","บอย","กองกลาง","120.00","ขึ้นเป็น ฿120","7500.00","7500.00","0"
"186","16/8/2569 22:38:39","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿120","7500.00","7500.00","0"
"187","16/8/2569 22:40:18","ลงกอง","บอย","กองกลาง","100.00","ขึ้นเป็น ฿100","7500.00","7500.00","0"
"188","16/8/2569 22:41:20","ลงกอง","มิ้นท์","กองกลาง","100.00","ตาม ฿100","7500.00","7500.00","0"
"189","16/8/2569 22:42:26","รับเงินกองกลาง","กองกลาง","มิ้นท์","600.00","","0.00","0.00","0"
"190","16/8/2569 22:42:26","รับเงินกองกลาง","กองกลาง","บอย","600.00","","7500.00","7500.00","0"
"191","16/8/2569 22:44:10","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","7500.00","7500.00","0"
"192","16/8/2569 22:45:07","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","7500.00","7500.00","0"
"193","16/8/2569 22:45:41","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","7500.00","7500.00","0"
"194","16/8/2569 22:46:34","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","7500.00","7500.00","0"
"195","16/8/2569 22:47:39","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","7500.00","7500.00","0"
"196","16/8/2569 22:48:01","ลงกอง","มิ้นท์","กองกลาง","80.00","ขึ้นเป็น ฿80","7500.00","7500.00","0"
"197","16/8/2569 22:49:06","ลงกอง","อาร์ต","กองกลาง","80.00","ตาม ฿80","7500.00","7500.00","0"
"198","16/8/2569 22:49:15","ลงกอง","บอย","กองกลาง","80.00","ตาม ฿80","7500.00","7500.00","0"
"199","16/8/2569 22:50:16","ลงกอง","แนน","กองกลาง","80.00","ตาม ฿80","7500.00","7500.00","0"
"200","16/8/2569 22:50:56","ลงกอง","ป๋องแป๋ง","กองกลาง","80.00","ตาม ฿80","7500.00","7500.00","0"
"201","16/8/2569 22:51:27","ลงกอง","มิ้นท์","กองกลาง","40.00","ขึ้นเป็น ฿40","7500.00","7500.00","0"
"202","16/8/2569 22:52:44","ลงกอง","อาร์ต","กองกลาง","120.00","ขึ้นเป็น ฿120","7500.00","7500.00","0"
"203","16/8/2569 22:53:34","ลงกอง","บอย","กองกลาง","120.00","ตาม ฿120","7500.00","7500.00","0"
"204","16/8/2569 22:53:51","ลงกอง","ป๋องแป๋ง","กองกลาง","120.00","ตาม ฿120","7500.00","7500.00","0"
"205","16/8/2569 22:54:29","ลงกอง","มิ้นท์","กองกลาง","80.00","ตาม ฿120","7500.00","7500.00","0"
"206","16/8/2569 23:01:21","รับเงินกองกลาง","กองกลาง","บอย","1080.00","","7500.00","7500.00","0"
"207","16/8/2569 23:01:56","คืนหนี้","แนน","บอย","120.00","ทยอยคืน","7500.00","7500.00","0"
